,random,true_bid,impression_won,clicks,cost,CTR,CPM,CPC
0,5,3,798.0,0,1165.0,0.0,1459.9,inf
1,10,0,0.0,0,0.0,nan,nan,nan
2,15,8,10850.0,8,54653.0,0.07,5037.14,6831.62
3,20,0,0.0,0,0.0,nan,nan,nan
4,25,16,24081.0,11,206522.0,0.05,8576.14,18774.73
5,30,28,60730.0,20,965153.0,0.03,15892.52,48257.65
6,35,2,360.0,0,289.0,0.0,802.78,inf
7,40,7,9407.0,8,44552.0,0.09,4736.05,5569.0
8,45,41,85361.0,30,1788057.0,0.04,20947.0,59601.9
9,50,9,12051.0,8,64261.0,0.07,5332.42,8032.62
10,55,40,83032.0,29,1694897.0,0.03,20412.58,58444.72
11,60,47,94388.0,37,2180368.0,0.04,23100.06,58928.86
12,65,62,76469.0,33,2500002.0,0.04,32693.01,75757.64
13,70,50,99058.0,40,2404697.0,0.04,24275.65,60117.42
14,75,37,79449.0,27,1558975.0,0.03,19622.34,57739.81
15,80,29,61935.0,22,998893.0,0.04,16128.09,45404.23
16,85,58,79989.0,33,2500032.0,0.04,31254.7,75758.55
17,90,64,75389.0,34,2500054.0,0.05,33162.05,73531.0
18,95,74,62664.0,39,2500017.0,0.06,39895.59,64103.0
19,100,14,21058.0,10,162741.0,0.05,7728.23,16274.1
20,105,26,58372.0,19,902463.0,0.03,15460.55,47498.05
21,110,54,86064.0,34,2500003.0,0.04,29048.19,73529.5
22,115,64,75389.0,34,2500054.0,0.05,33162.05,73531.0
23,120,27,59348.0,19,927839.0,0.03,15633.87,48833.63
24,125,48,96134.0,38,2262430.0,0.04,23534.13,59537.63
25,130,79,58374.0,42,2500063.0,0.07,42828.37,59525.31
26,135,81,56221.0,41,2500037.0,0.07,44468.03,60976.51
27,140,33,73154.0,23,1342863.0,0.03,18356.66,58385.35
28,145,90,52424.0,41,2500046.0,0.08,47688.96,60976.73
29,150,146,43448.0,37,2500020.0,0.09,57540.51,67568.11
30,155,109,48771.0,43,2500043.0,0.09,51260.85,58140.53
31,160,67,73340.0,33,2500052.0,0.04,34088.52,75759.15
32,165,33,73154.0,23,1342863.0,0.03,18356.66,58385.35
33,170,54,86064.0,34,2500003.0,0.04,29048.19,73529.5
34,175,171,39543.0,40,2500109.0,0.1,63225.07,62502.72
35,180,146,43448.0,37,2500020.0,0.09,57540.51,67568.11
36,185,42,86683.0,31,1842259.0,0.04,21252.83,59427.71
37,190,68,72481.0,32,2500027.0,0.04,34492.17,78125.84
38,195,70,71508.0,32,2500003.0,0.04,34961.17,78125.09
39,200,87,54205.0,43,2500013.0,0.08,46121.45,58139.84
40,205,82,55967.0,42,2500045.0,0.08,44669.98,59524.88
41,210,122,46740.0,44,2500030.0,0.09,53488.02,56818.86
42,215,124,46522.0,43,2500011.0,0.09,53738.25,58139.79
43,220,17,26289.0,11,241850.0,0.04,9199.67,21986.36
44,225,224,34729.0,36,2500146.0,0.1,71990.15,69448.5
45,230,202,36302.0,38,2500034.0,0.1,68867.67,65790.37
46,235,138,44479.0,39,2500001.0,0.09,56206.32,64102.59
47,240,37,79449.0,27,1558975.0,0.03,19622.34,57739.81
48,245,224,34729.0,36,2500146.0,0.1,71990.15,69448.5
49,250,234,34032.0,35,2500049.0,0.1,73461.71,71429.97
50,255,31,66264.0,22,1127667.0,0.03,17017.79,51257.59
51,260,104,49545.0,43,2500000.0,0.09,50459.18,58139.53
52,265,100,50732.0,43,2500072.0,0.08,49279.98,58141.21
53,270,149,42727.0,36,2500086.0,0.08,58513.02,69446.83
54,275,122,46740.0,44,2500030.0,0.09,53488.02,56818.86
55,280,145,43528.0,37,2500062.0,0.09,57435.72,67569.24
56,285,149,42727.0,36,2500086.0,0.08,58513.02,69446.83
57,290,32,71548.0,23,1291471.0,0.03,18050.41,56150.91
58,295,280,31732.0,37,2500099.0,0.12,78787.94,67570.24
