,constants,impression_won,clicks,cost,CTR,CPM,CPC
0,5,2133.0,0,6421.0,0.0,3010.31,inf
1,10,13364.0,8,76078.0,0.06,5692.76,9509.75
2,15,22622.0,10,184637.0,0.04,8161.83,18463.7
3,20,32248.0,13,348357.0,0.04,10802.44,26796.69
4,25,56765.0,18,862288.0,0.03,15190.49,47904.89
5,30,63031.0,22,1030677.0,0.03,16351.91,46848.95
6,35,77000.0,26,1471527.0,0.03,19110.74,56597.19
7,40,83032.0,29,1694897.0,0.03,20412.58,58444.72
8,45,91478.0,35,2048200.0,0.04,22390.08,58520.0
9,50,99058.0,40,2404697.0,0.04,24275.65,60117.42
10,55,85545.0,34,2500039.0,0.04,29224.84,73530.56
11,60,78306.0,32,2500015.0,0.04,31926.23,78125.47
12,65,74568.0,33,2500003.0,0.04,33526.49,75757.67
13,70,71508.0,32,2500003.0,0.04,34961.17,78125.09
14,75,62334.0,39,2500040.0,0.06,40107.16,64103.59
15,80,58220.0,42,2500025.0,0.07,42941.0,59524.4
16,85,54748.0,42,2500034.0,0.08,45664.39,59524.62
17,90,52424.0,41,2500046.0,0.08,47688.96,60976.73
18,95,51592.0,42,2500007.0,0.08,48457.26,59523.98
19,100,50732.0,43,2500072.0,0.08,49279.98,58141.21
20,105,49446.0,44,2500036.0,0.09,50560.94,56819.0
21,110,48608.0,43,2500000.0,0.09,51431.86,58139.53
22,115,47865.0,43,2500000.0,0.09,52230.23,58139.53
23,120,47030.0,44,2500019.0,0.09,53157.96,56818.61
24,125,46333.0,43,2500019.0,0.09,53957.63,58139.98
25,130,45538.0,41,2500002.0,0.09,54899.25,60975.66
26,135,44814.0,39,2500065.0,0.09,55787.59,64104.23
27,140,44288.0,39,2500053.0,0.09,56449.9,64103.92
28,145,43528.0,37,2500062.0,0.09,57435.72,67569.24
29,150,42605.0,37,2500093.0,0.09,58680.74,67570.08
30,155,41865.0,38,2500081.0,0.09,59717.69,65791.61
31,160,41383.0,39,2500075.0,0.09,60413.09,64104.49
32,165,40335.0,39,2500038.0,0.1,61981.85,64103.54
33,170,39627.0,38,2500029.0,0.1,63089.03,65790.24
34,175,39287.0,39,2500127.0,0.1,63637.51,64105.82
35,180,38695.0,39,2500005.0,0.1,64607.96,64102.69
36,185,38041.0,39,2500043.0,0.1,65719.7,64103.67
37,190,37717.0,38,2500060.0,0.1,66284.7,65791.05
38,195,37326.0,38,2500003.0,0.1,66977.52,65789.55
39,200,36988.0,38,2500055.0,0.1,67590.98,65790.92
40,205,36134.0,38,2500073.0,0.11,69188.94,65791.39
41,210,35838.0,38,2500015.0,0.11,69758.78,65789.87
42,215,35298.0,38,2500121.0,0.11,70828.97,65792.66
43,220,35037.0,37,2500041.0,0.11,71354.31,67568.68
44,225,34697.0,36,2500101.0,0.1,72055.25,69447.25
45,230,34227.0,35,2500170.0,0.1,73046.72,71433.43
46,235,34001.0,35,2500014.0,0.1,73527.66,71428.97
47,240,33538.0,35,2500090.0,0.1,74544.99,71431.14
48,245,33212.0,35,2500148.0,0.11,75278.45,71432.8
49,250,32972.0,35,2500055.0,0.11,75823.58,71430.14
50,255,32644.0,35,2500198.0,0.11,76589.82,71434.23
51,260,32400.0,36,2500046.0,0.11,77161.91,69445.72
52,265,32126.0,36,2500017.0,0.11,77819.12,69444.92
53,270,31934.0,36,2500030.0,0.11,78287.41,69445.28
54,275,31824.0,37,2500001.0,0.12,78557.1,67567.59
55,280,31732.0,37,2500099.0,0.12,78787.94,67570.24
56,285,31483.0,38,2500121.0,0.12,79411.78,65792.66
57,290,31353.0,37,2500079.0,0.12,79739.71,67569.7
58,295,31264.0,36,2500073.0,0.12,79966.51,69446.47
